"You’ve won the lottery! Call [phone number] to claim your $5 million prize.","1"
"You’ve won the lottery! Call [phone number] to claim your $5 million prize.","1"
"URGENT! Your account will be suspended unless you verify at http://verify-now.com immediately.","1"
"Important notice: Your tax refund is ready. Confirm your bank info at gov-tax-return.org","1"
"Congrats, you’ve been pre-approved for a low-interest loan. Apply now: easyloancredit.com","1"
"Important notice: Your tax refund is ready. Confirm your bank info at gov-tax-return.org","1"
" just got home, let me know when you’re free to talk","0"
"Free Bitcoin giveaway! Earn 3 BTC instantly by registering here: www.bitcoin-scam.com","1"
"Hey, the package arrived this morning. Thanks for sending it!","0"
"Good luck with your exam today. You’ll do great!","0"
"Happy Birthday! Hope you have an amazing day","0"
"Winner! Call 800-123-FAKE to redeem your $500 Amazon voucher today.”","1"
